id,name,local_name,district,city,lat,lng,start_date,end_date,duration_days,season,category,description,cultural_significance,history,attractions,local_food,footfall,images,tags,footfall_formatted,attractions_count,culinary_items_count,computed_duration
mysuru-dasara,Mysuru Dasara (Nada Habba),ಮೈಸೂರು ದಸರಾ (ನಾಡಹಬ್ಬ),Mysuru,Mysuru,12.3051,76.6551,2026-10-11,2026-10-20,10,Sharad (Autumn / Navaratri),State Festival & Royal Heritage,"Celebrated as Karnataka's official state festival (Nada Habba), Mysuru Dasara is a 10-day extravaganza celebrating Goddess Chamundeshwari's victory over the demon Mahishasura. The heritage city illuminates with over 100,000 light bulbs at the Mysuru Palace, culminating in the grand Vijayadashami procession.","Represents the triumph of righteousness (Dharma) over evil. It showcases Karnataka's rich royal lineage, royal darbar traditions, and unbroken cultural continuum preserved by the Wadiyar Dynasty.","Initiated in the 14th century by the Vijayanagara Empire kings as Mahanavami festival, later institutionalized in Srirangapatna by Raja Wadiyar I in 1610 and moved to Mysuru in 1799.","[""Jamboo Savari (Grand Elephant Procession carrying the 750kg Golden Howdah)"", ""Illumination of Mysuru Palace with 100,000 bulbs"", ""Torchlight Parade at Bannimantap"", ""Yuva Dasara & Classical Music Concerts at Palace Courtyard"", ""Dasara Exhibition & Kushti (Traditional Wrestling) Tournament""]","[""Mysore Pak (melt-in-mouth ghee sweet)"", ""Mysore Masala Dosa with red chili-garlic chutney"", ""Maddur Vada"", ""Nanjanagudu Rasabale (heritage GI banana)"", ""Mysore Chiroti with Badam Milk""]",1800000,"[{""url"": ""https://images.unsplash.com/photo-1600100397608-f010f443b749"", ""caption"": ""Mysore Palace illuminated with golden lights during Dasara"", ""is_primary"": true}, {""url"": ""https://images.unsplash.com/photo-1582510003544-4d00b7f74220"", ""caption"": ""Decorated lead tusker carrying the Golden Howdah during Jamboo Savari"", ""is_primary"": false}]","[""heritage"", ""royal"", ""nada-habba"", ""mysuru-palace"", ""chamundeshwari"", ""elephant-procession"", ""unesco-style"", ""autumn""]",1.8 Million+,5,5,10
kambala-buffalo-race,Kambala (Dakshina Kannada Traditional Buffalo Race),ಕಂಬಳ (ಕರಾವಳಿಯ ಜಾನಪದ ಕ್ರೀಡೆ),Dakshina Kannada,Moodabidri / Mangaluru,13.0694,74.9961,2026-11-21,2026-11-22,2,Post-Monsoon / Winter,Folk Sports & Agrarian Heritage,An electrifying traditional folk sport where pairs of muscular water buffaloes driven by whip-wielding sprinters race down dual slushy paddy tracks (Kare) across Coastal Karnataka. Celebrated to appease gods for a bountiful harvest and livestock health.,Deeply woven into the agrarian Tulu Nadu ethos and veneration of Lord Kadri Manjunatha and local Daivas (Bhootas) for harvest blessings and cattle protection.,"Tracing back over 800 years to the Alupa and Hoysala dynasties, originally patronized by royal feudal landlords (Bunt households) as a test of speed and agricultural prowess.","[""Hagga (Rope) and Kane Halage (Water Spout Height) sprint categories"", ""Laser beam sensor photo-finish timing"", ""Bhoota Kola and Daivaradhane folk invocations"", ""Traditional drum ensembles (Chande & Maddale)""]","[""Neer Dosa with Kori Gassi (Mangalorean Chicken Curry)"", ""Kori Rotti (Crispy rice wafers in spiced gravy)"", ""Pathrode (steamed colocasia leaves)"", ""Mangalore Buns (banana-infused fluffy pooris)"", ""Shendi / Elaneer (Tender Coconut Payasa)""]",120000,"[{""url"": ""https://images.unsplash.com/photo-1596178065887-1198b6148b2b"", ""caption"": ""Jockey sprinting alongside paired water buffaloes in muddy waters"", ""is_primary"": true}]","[""tulu-nadu"", ""folk-sport"", ""buffalo-race"", ""karavali"", ""agrarian"", ""mud-track"", ""adventure""]",120k+,4,5,2
hampi-utsav,Hampi Utsav (Vijaya Utsava),ಹಂಪಿ ಉತ್ಸವ (ವಿಜಯ ಉತ್ಸವ),Vijayanagara,Hampi,15.335,76.46,2026-11-06,2026-11-08,3,Winter / Karthika,Classical Arts & Heritage,"A magnificent 3-day cultural symposium staged against the colossal UNESCO World Heritage ruins of the Vijayanagara Empire. The rugged boulder landscape and 15th-century stone temple complexes are brought alive with classical dance, music, laser shows, and rural folk arts.","Commemorates the golden era of Emperor Krishnadevaraya and the Vijayanagara Empire's cultural, architectural, and literary brilliance.","Revived by the Government of Karnataka in modern times, rooted in the historical 'Vijaya Utsava' described by medieval foreign travelers Domingo Paes and Abdur Razzaq.","[""Mega stages set against the backdrop of the illuminated Virupaksha Temple & Stone Chariot"", ""Sound and light spectacle across the Hemakuta and Matanga Hills"", ""Hampi by Night Heritage Walk and Coracle boating on Tungabhadra River"", ""Janapada Vahini (Folk street performance parade with Dollu Kunitha & Veeragase)""]","[""Jolada Rotti with Yennegai (stuffed spicy brinjal)"", ""Shenga (Peanut) Chutney Pudi & Ranjaka (red chilli paste)"", ""Koppal style Godhi Huggi (cracked wheat jaggery porridge)"", ""Badam Milk & Belagavi Kunda""]",350000,"[{""url"": ""https://images.unsplash.com/photo-1600100397906-8d195c8053a4"", ""caption"": ""Illuminated Stone Chariot and Vittala Temple during Hampi Utsav"", ""is_primary"": true}]","[""unesco"", ""vijayanagara"", ""classical-dance"", ""krishnadevaraya"", ""monuments"", ""tungabhadra"", ""heritage""]",350k+,4,4,3
bengaluru-karaga,Bengaluru Karaga Shaktyotsava,ಬೆಂಗಳೂರು ಕರಗ ಶಕ್ತ್ಯೋತ್ಸವ,Bengaluru Urban,Bengaluru (Thigalarapet / Old Pete),12.9698,77.5847,2026-04-01,2026-04-02,2,Spring (Chaitra Poornima),Religious & Folk Tradition,"Bengaluru's oldest continuous festival celebrated by the Vahnikula Kshatriya (Thigala) community. A floral pyramid-shaped earthen pot (Karaga) symbolizing Draupadi Shakti is balanced on the head of the priest, who walks through the heart of the old city throughout the midnight hours without dropping a single petal.","A rare confluence of Mahabharata epic veneration and inter-faith harmony, highlighted by the Karaga procession visiting the historic Hazrat Tawakkal Mastan Dargah.",Celebrated uninterrupted for over 300 years since the era of Magadi Kempe Gowda and the founding of Pete Bangalore.,"[""Midnight floral Karaga emergence from Sri Dharmaraya Swamy Temple"", ""Veerakumaras performing martial sword salutes (Alagu Sevai)"", ""Visit to Hazrat Tawakkal Mastan Dargah upholding communal brotherhood"", ""Illuminated traditional flower market (K.R. Market Pete) night walks""]","[""Bengaluru Benne Masala Dosa"", ""Chitranna (Lemon rice) and Puliyogare Prasada"", ""Badam Halwa and Holige"", ""Congress Kadlekai (Spiced peanuts)"", ""Filter Coffee""]",550000,"[{""url"": ""https://images.unsplash.com/photo-1567157577867-05ccb1388e66"", ""caption"": ""Dharmaraya Swamy Temple night lights during Bengaluru Karaga"", ""is_primary"": true}]","[""bengaluru"", ""karaga"", ""draupadi"", ""midnight-procession"", ""thigala"", ""interfaith-harmony"", ""pete""]",550k+,4,5,2
pattadakal-dance-festival,Pattadakal Dance & Music Festival,ಪಟ್ಟದಕಲ್ಲು ನೃತ್ಯೋತ್ಸವ,Bagalkote,Pattadakal,15.9483,75.8166,2026-01-16,2026-01-18,3,Winter / Magha,Classical Dance & Heritage,"A prestigious national classical dance festival staged against the 8th-century UNESCO World Heritage sandstone temples of Pattadakal on the banks of Malaprabha River. India's top exponents of Bharatanatyam, Kathak, Odissi, and Kuchipudi perform before the magnificent Virupaksha and Mallikarjuna shrines.",Celebrates the synthesis of Dravidian and Nagara temple architectural styles pioneered by the Early Badami Chalukyas.,Pattadakal was the ceremonial coronation city (Pattada-Kallu) of the Badami Chalukya emperors from 543 to 753 CE.,"[""Open-air classical recitals under night illumination of 8th-century temple facades"", ""Exhibition of North Karnataka handloom textiles (Ilkal Sarees & Guledgudda Khana)"", ""Sculpture appreciation tours of Chalukyan epics carved in stone""]","[""Sajje (Pearl Millet) Rotti with Shenga Chutney"", ""Jowar Rotti with sprouted Moong Usli"", ""Ilkal style Gulbarga Shenga Holige (Jaggery peanut flatbread)"", ""Girmit (North Karnataka spiced puffed rice) with Mirchi Bajji""]",65000,"[{""url"": ""https://images.unsplash.com/photo-1548013146-72479768bada"", ""caption"": ""Illuminated Pattadakal temple complex during the national dance festival"", ""is_primary"": true}]","[""pattadakal"", ""chalukya"", ""classical-dance"", ""unesco"", ""malaprabha"", ""bagalkote"", ""architecture""]",65k+,3,4,3
vairamudi-brahmotsava,Melukote Vairamudi Brahmotsava,ಮೇಲುಕೋಟೆ ವೈರಮುಡಿ ಬ್ರಹ್ಮೋತ್ಸವ,Mandya,Melukote,12.6631,76.6558,2026-03-28,2026-03-29,2,Spring (Phalguna Shuddha Pushya),Temple & Sacred Ritual,One of South India's most venerated Vaishnavite festivals where Lord Cheluvanarayana Swamy is adorned with the legendary diamond-studded crown (Vairamudi) and taken out in a solemn midnight procession through the hill town of Melukote under high security.,"Associated with Sri Ramanujacharya who revived Melukote in the 12th century. According to legend, the diamond crown was originally bestowed upon Lord Vishnu by Garuda.",Celebrated for nearly a millennium since the Hoysala era under King Vishnuvardhana and Ramanujacharya's stay.,"[""Arrival of the ancient diamond crown under District Treasury armed escort"", ""Midnight Garuda Vahana procession of Lord Cheluvanarayana Swamy"", ""Kalyani stepwell holy dip and Raja Gopura illumination"", ""Vedic chanting and Divya Prabhandam recitations by Vaishnava scholars""]","[""Melukote Puliyogare (famous temple tamarind rice with aromatic spices)"", ""Melukote Sweet Pongal / Sarkarai Pongal"", ""Akaravadisal (traditional jaggery milk dessert)"", ""Mandya Sugarcane Juice & Maddur Vada""]",250000,"[{""url"": ""https://images.unsplash.com/photo-1621847468516-1ed5d0df56fe"", ""caption"": ""Melukote Cheluvanarayana Swamy Temple Kalyani stepped tank"", ""is_primary"": true}]","[""melukote"", ""vairamudi"", ""ramanujacharya"", ""mandya"", ""puliyogare"", ""temple-jewels"", ""vaishnavite""]",250k+,4,4,2
kadambotsava-banavasi,Kadambotsava (Banavasi Heritage Festival),ಕದಂಬೋತ್ಸವ (ಬನವಾಸಿ),Uttara Kannada,Banavasi,14.5367,75.0125,2026-12-11,2026-12-13,3,Winter / Hemanta,Historical & Literary Festival,"Celebrated at Banavasi, the ancient 4th-century capital of the Kadamba Dynasty (first native Kannada empire). The festival honors Adikavi Pampa's immortal words that one must be born in Banavasi even as a bee to experience its sublime beauty, presenting state literary awards and traditional Yakshagana.","Honors the inception of Kannada statehood and literature, conferring the prestigious 'Pampa Prashasti' state award to eminent scholars.","Banavasi was founded around 345 CE by King Mayurasharma of the Kadamba Dynasty, mentioned in Ashokan edicts and Ptolemy's geographical records.","[""Presentation of the coveted Pampa Prashasti state literary award"", ""All-night Tenku and Badagu Thittu Yakshagana performances"", ""Madhukeshwara Temple sound and light presentation along the Varada River"", ""Malnad agricultural and spices exhibition""]","[""Appemidi Pickle (fragrant GI tender wild mango pickle)"", ""Todadevu (wafer-thin sugarcane/jaggery crepe)"", ""Halasina Hannina Kadubu (steamed jackfruit cake in teak leaves)"", ""Malnad Kotte Kadubu with coconut chutney""]",75000,"[{""url"": ""https://images.unsplash.com/photo-1590076215667-875d4ef2d7ee"", ""caption"": ""Banavasi ancient temple architecture during Kadambotsava"", ""is_primary"": true}]","[""banavasi"", ""kadamba"", ""pampa"", ""kannada-literature"", ""madhukeshwara"", ""malnad"", ""yakshagana""]",75k+,4,4,3
tula-sankramana-talakaveri,Tula Sankramana (Kaveri Theerthodbhava),ತುಲಾ ಸಂಕ್ರಮಣ (ಕಾವೇರಿ ತೀರ್ಥೋದ್ಭವ),Kodagu,Talakaveri / Bhagamandala,12.3856,75.492,2026-10-17,2026-10-18,2,Sharad (Tula Month Transition),Sacred River Pilgrimage & Eco-Spiritual,"At a predetermined auspicious astrological second in the Brahmagiri Hills, Mother River Kaveri springs forth as a sudden holy gush of water in the sacred square pond (Brahma Kundike). Tens of thousands of Kodava families and pilgrims gather in mist-shrouded Talakaveri to witness the miracle and collect the divine waters.","Kaveri is the lifeblood and supreme mother deity of Kodagu. Kodava brides venerate Kaveri water during weddings, and every household keeps a sacred pitcher filled with this water.","Mentioned in the Kaveri Purana section of the Skanda Purana, celebrated since time immemorial as the perennial birth of River Kaveri.","[""Theerthodbhava bubbling moment at Brahma Kundike at Talakaveri"", ""Holy bath (Snana) and rituals at Triveni Sangama in Bhagamandala"", ""Traditional Kodava attire displays (Kupya Chele and traditional sarees)"", ""Scenic cloudscape atop Brahmagiri Peak trail""]","[""Kadambuttu (Steamed rice flour dumplings) with spicy curry"", ""Akki Rotti with Ellu Pajji (roasted sesame chutney)"", ""Paputtu (steamed rice cake with coconut and milk)"", ""Coorg Kaapi (filter coffee with fresh estate cardamom)"", ""Kummu (Wild mushroom) curry (seasonal delicacy)""]",125000,"[{""url"": ""https://images.unsplash.com/photo-1506744038136-46273834b3fb"", ""caption"": ""Misty Western Ghats sunrise over Talakaveri Brahmagiri hills"", ""is_primary"": true}]","[""talakaveri"", ""kodagu"", ""kaveri-river"", ""theerthodbhava"", ""kodava"", ""pilgrimage"", ""western-ghats""]",125k+,4,5,2
chalukya-utsava-badami,Chalukya Utsava (Badami & Aihole Heritage Fest),ಚಾಲುಕ್ಯ ಉತ್ಸವ (ಬಾದಾಮಿ & ಐಹೊಳೆ),Bagalkote,Badami & Aihole,15.9189,75.6798,2026-02-06,2026-02-08,3,Winter / Shishira,Heritage & Historical,"Celebrated across the red sandstone cliffs of Badami (Vatapi) and the temple cradle of Aihole. Features rock-cut cave temple light projections, folk theatre, martial art demonstrations, and classical music reflecting the reign of King Pulakeshin II.","Celebrates the architectural crucible where Hindu temple architecture (rock-cut caves, structural temples) was first experimented with and perfected in South India.","Commemorates the Badami Chalukyas who ruled from 540 CE to 757 CE, establishing an empire spanning the Deccan.","[""Laser mapping over the red cliff face of Agastya Lake & Badami Caves"", ""Classical performances in the courtyard of Aihole's Durga Temple"", ""Rock climbing competitions on Badami's world-famous sandstone crags"", ""Chalukyan historical drama enactments""]","[""Jolada Rotti with Shenga Pudi and Gural Chutney"", ""Badami style Kadabu with spicy lentil sambar"", ""North Karnataka Mirchi Bajji with Mandakki"", ""Belagavi Kunda & Dharwad Pedha""]",110000,"[{""url"": ""https://images.unsplash.com/photo-1596401057633-54a8fe8ef647"", ""caption"": ""Agastya Lake and Bhutanatha Temple at Badami during Chalukya Utsava"", ""is_primary"": true}]","[""badami"", ""aihole"", ""chalukya"", ""rock-cut-caves"", ""agastya-lake"", ""pulakeshin"", ""heritage""]",110k+,4,4,3
gavisiddheshwara-jatre-koppal,Koppal Gavisiddheshwara Jatre (Mahadasoha),ಕೊಪ್ಪಳ ಗವಿಸಿದ್ದೇಶ್ವರ ಮಹಾ ರಥೋತ್ಸವ ಮತ್ತು ಮಹಾದಾಸೋಹ,Koppal,Koppal,15.3486,76.1554,2026-01-04,2026-01-10,7,Winter (Pushya Bahula),Spiritual Mass Congregation & Dasoha,"Renowned across India as the 'Kumbh Mela of South India', this monumental spiritual gathering at Sri Gavisiddheshwara Matha draws over 2 million devotees. Celebrated with an emphasis on environmental conservation, non-violence, eye donations, and voluntary mass community feeding (Dasoha).","Exemplifies the Lingayat philosophy of Kayaka (work is worship) and Dasoha (unconditional selfless mass feeding), with over 100,000 volunteers cooking and serving meals simultaneously.",Tracing back to the 12th-century Veerashaiva saint lineage of the Gavimatha cave hermits in the hills of Koppal.,"[""Lifting and pulling of the colossal 65-foot Brahma Ratha by a sea of lakhs of devotees"", ""Mahadasoha: Serving over 1.5 million rotis, madike kaalu, and sweets per day"", ""Mass public pledge campaigns for tree plantation, blood donation, and organ pledges"", ""Dazzling nighttime fireworks and Bhajan sessions""]","[""Hot Jolada Rotti with Shenga Chutney and Junka"", ""Madike Kaalu Palya (Sprouted moth bean curry)"", ""Gavi Matha Boondi Laddu & Godhi Huggi Prasada"", ""Sajje Rotti with homemade churned white butter""]",2200000,"[{""url"": ""https://images.unsplash.com/photo-1544717305-2782549b5136"", ""caption"": ""Massive congregation of over a million devotees at Koppal Gavi Matha"", ""is_primary"": true}]","[""koppal"", ""gavimatha"", ""dasoha"", ""kumbh-mela-south"", ""jatre"", ""chariot-pulling"", ""lingayat"", ""charity""]",2.2 Million+,4,4,7
