id,name
2,State Festival & Royal Heritage
4,Classical Arts & Heritage
5,Religious & Folk Tradition
6,Classical Dance & Heritage
7,Temple & Sacred Ritual
8,Historical & Literary Festival
9,Sacred River Pilgrimage & Eco-Spiritual
10,Heritage & Historical
11,Spiritual Mass Congregation & Dasoha
12,Folk Fair & Temple Car
13,Tribal & Folk Pilgrimage
14,Spiritual Festival of Lights & Interfaith Unity
15,Sacred Biennial Handover & Vedic Ritual
16,Grand Jain Anointment & Peace Fest
17,Sacred Annual Darshan & Miracle Shrine
18,Agrarian Peanut Fair & Folk Bazaar
19,Sacred Classical & Vedic Fest
20,National Cultural Extravaganza
21,Sufi-Bhakti Spiritual Fair & Dasoha
22,Sacred Serpentine Ritual & Car Fest
23,Deccan Heritage & Sufi Music
24,Indigenous Tribal & Harvest
25,Heritage & Folk Arts
26,"Art, Sculpture & Stepwell Heritage"
27,Patriotic & Freedom Heritage
28,Coastal Tourism & Maritime Arts
29,Spiritual & Dvaita Vedanta Fest
30,Community Fair & Weaving Heritage
31,"Literature, Theatre & Malnad Heritage"
3,Folk Sports & Agrarian Heritage
33,Sacred Coastal Car Fest & Daivaradhane
34,Sacred River Confluence & Shankara Mutt Fest
35,Jain Heritage & Architectural Illumination
36,Sacred Shaivite Car Festival
